138,"{'Volume': 737004.0, 'Turnover_ratio': 0.48, 'Price': 0.9, 'Time': '2005-08-04'}"
139,"{'Volume': 3483451.0, 'Turnover_ratio': 2.29, 'Price': 0.94, 'Time': '2005-08-05'}"
140,"{'Volume': 912371.0, 'Turnover_ratio': 0.6, 'Price': 0.95, 'Time': '2005-08-08'}"
141,"{'Volume': 1127118.0, 'Turnover_ratio': 0.74, 'Price': 0.97, 'Time': '2005-08-09'}"
142,"{'Volume': 1072203.0, 'Turnover_ratio': 0.71, 'Price': 0.99, 'Time': '2005-08-10'}"
143,"{'Volume': 1925762.0, 'Turnover_ratio': 1.27, 'Price': 1.03, 'Time': '2005-08-11'}"
144,"{'Volume': 1631032.0, 'Turnover_ratio': 1.07, 'Price': 0.98, 'Time': '2005-08-12'}"
145,"{'Volume': 1117393.0, 'Turnover_ratio': 0.74, 'Price': 0.99, 'Time': '2005-08-15'}"
146,"{'Volume': 1468411.0, 'Turnover_ratio': 0.97, 'Price': 1.01, 'Time': '2005-08-16'}"
147,"{'Volume': 1388944.0, 'Turnover_ratio': 0.92, 'Price': 1.01, 'Time': '2005-08-17'}"
148,"{'Volume': 2913064.0, 'Turnover_ratio': 1.92, 'Price': 1.02, 'Time': '2005-08-18'}"
149,"{'Volume': 1284452.0, 'Turnover_ratio': 0.85, 'Price': 1.0, 'Time': '2005-08-19'}"
150,"{'Volume': 1223640.0, 'Turnover_ratio': 0.81, 'Price': 1.02, 'Time': '2005-08-22'}"
151,"{'Volume': 1029832.0, 'Turnover_ratio': 0.68, 'Price': 1.02, 'Time': '2005-08-23'}"
152,"{'Volume': 2137073.0, 'Turnover_ratio': 1.41, 'Price': 1.06, 'Time': '2005-08-24'}"
153,"{'Volume': 3096394.0, 'Turnover_ratio': 2.04, 'Price': 1.11, 'Time': '2005-08-25'}"
154,"{'Volume': 2810836.0, 'Turnover_ratio': 1.85, 'Price': 1.16, 'Time': '2005-08-26'}"
155,"{'Volume': 4044846.0, 'Turnover_ratio': 2.66, 'Price': 1.13, 'Time': '2005-08-29'}"
156,"{'Volume': 1769712.0, 'Turnover_ratio': 1.16, 'Price': 1.07, 'Time': '2005-08-30'}"
157,"{'Volume': 2185164.0, 'Turnover_ratio': 1.44, 'Price': 1.04, 'Time': '2005-08-31'}"
158,"{'Volume': 1580747.0, 'Turnover_ratio': 1.04, 'Price': 1.09, 'Time': '2005-09-01'}"
159,"{'Volume': 2208074.0, 'Turnover_ratio': 1.45, 'Price': 1.1, 'Time': '2005-09-02'}"
160,"{'Volume': 2459476.0, 'Turnover_ratio': 1.62, 'Price': 1.16, 'Time': '2005-09-05'}"
161,"{'Volume': 3009211.0, 'Turnover_ratio': 1.98, 'Price': 1.12, 'Time': '2005-09-06'}"
162,"{'Volume': 3581031.0, 'Turnover_ratio': 2.36, 'Price': 1.18, 'Time': '2005-09-07'}"
163,"{'Volume': 2946733.0, 'Turnover_ratio': 1.94, 'Price': 1.19, 'Time': '2005-09-08'}"
164,"{'Volume': 1716825.0, 'Turnover_ratio': 1.13, 'Price': 1.19, 'Time': '2005-09-09'}"
165,"{'Volume': 3628504.0, 'Turnover_ratio': 2.39, 'Price': 1.25, 'Time': '2005-09-12'}"
166,"{'Volume': 4679361.0, 'Turnover_ratio': 3.08, 'Price': 1.31, 'Time': '2005-09-13'}"
167,"{'Volume': 4714814.0, 'Turnover_ratio': 3.1, 'Price': 1.28, 'Time': '2005-09-14'}"
168,"{'Volume': 2374594.0, 'Turnover_ratio': 1.56, 'Price': 1.3, 'Time': '2005-09-15'}"
169,"{'Volume': 3367315.0, 'Turnover_ratio': 2.22, 'Price': 1.33, 'Time': '2005-09-16'}"
170,"{'Volume': 3282600.0, 'Turnover_ratio': 2.16, 'Price': 1.39, 'Time': '2005-09-19'}"
171,"{'Volume': 7651257.0, 'Turnover_ratio': 5.04, 'Price': 1.46, 'Time': '2005-09-20'}"
172,"{'Volume': 9232224.0, 'Turnover_ratio': 6.08, 'Price': 1.4, 'Time': '2005-09-21'}"
173,"{'Volume': 2710830.0, 'Turnover_ratio': 1.78, 'Price': 1.33, 'Time': '2005-09-22'}"
174,"{'Volume': 4489998.0, 'Turnover_ratio': 2.96, 'Price': 1.33, 'Time': '2005-09-23'}"
175,"{'Volume': 1830637.0, 'Turnover_ratio': 1.2, 'Price': 1.26, 'Time': '2005-09-26'}"
176,"{'Volume': 3400818.0, 'Turnover_ratio': 2.24, 'Price': 1.2, 'Time': '2005-09-27'}"
177,"{'Volume': 1658230.0, 'Turnover_ratio': 1.09, 'Price': 1.14, 'Time': '2005-09-28'}"
178,"{'Volume': 2559643.0, 'Turnover_ratio': 1.68, 'Price': 1.2, 'Time': '2005-09-29'}"
179,"{'Volume': 3313884.0, 'Turnover_ratio': 2.18, 'Price': 1.24, 'Time': '2005-09-30'}"
180,"{'Volume': 1548988.0, 'Turnover_ratio': 1.02, 'Price': 1.18, 'Time': '2005-10-10'}"
181,"{'Volume': 2078425.0, 'Turnover_ratio': 1.37, 'Price': 1.22, 'Time': '2005-10-11'}"
182,"{'Volume': 2123760.0, 'Turnover_ratio': 1.4, 'Price': 1.23, 'Time': '2005-10-12'}"
183,"{'Volume': 1427468.0, 'Turnover_ratio': 0.94, 'Price': 1.19, 'Time': '2005-10-13'}"
184,"{'Volume': 844975.0, 'Turnover_ratio': 0.56, 'Price': 1.14, 'Time': '2005-10-14'}"
185,"{'Volume': 1366180.0, 'Turnover_ratio': 0.9, 'Price': 1.13, 'Time': '2005-10-17'}"
186,"{'Volume': 1127390.0, 'Turnover_ratio': 0.74, 'Price': 1.15, 'Time': '2005-10-18'}"
